review_id,order_id,review_score,review_comment_title,review_comment_message,review_creation_date,review_answer_timestamp
rev_000000,ord_000000,5,Recomendo,Otima qualidade,2018-11-01 18:44:00,
rev_000001,ord_000001,5,,Produto chegou rapido,2018-09-17 15:38:00,
rev_000002,ord_000002,5,Péssimo,Otima qualidade,2018-06-13 16:41:00,2018-06-14 16:41:00
rev_000003,ord_000003,5,,Otima qualidade,2018-02-25 14:39:00,
rev_000004,ord_000004,5,Otimo,Atrasou a entrega,2018-09-22 17:38:00,2018-09-24 17:38:00
rev_000005,ord_000005,5,Otimo,Produto chegou rapido,2018-09-04 21:20:00,2018-09-10 21:20:00
rev_000006,ord_000006,5,Otimo,,2017-06-29 21:01:00,2017-06-29 21:01:00
rev_000007,ord_000007,1,,,2018-10-12 15:26:00,
rev_000008,ord_000008,3,,,2017-04-23 21:02:00,2017-05-02 21:02:00
rev_000009,ord_000009,3,,,2018-04-10 11:28:00,
rev_000010,ord_000010,5,Excelente,Produto chegou rapido,2018-07-07 20:27:00,
rev_000011,ord_000011,2,Otimo,Produto chegou rapido,2018-10-26 17:10:00,
rev_000013,ord_000013,5,,Produto com defeito,2017-09-30 08:42:00,2017-10-02 08:42:00
rev_000014,ord_000014,4,Excelente,Produto com defeito,2018-03-29 09:33:00,
rev_000015,ord_000015,5,,Produto com defeito,2017-10-20 18:55:00,2017-10-20 18:55:00
rev_000016,ord_000016,5,Bom,,2018-04-29 09:17:00,2018-05-02 09:17:00
rev_000017,ord_000017,5,Bom,Otima qualidade,2018-03-28 18:15:00,2018-04-04 18:15:00
rev_000018,ord_000018,5,,Produto com defeito,2018-09-26 18:11:00,2018-10-04 18:11:00
rev_000019,ord_000019,3,,,2017-10-14 10:32:00,
rev_000020,ord_000020,5,,,2017-09-01 18:12:00,2017-09-04 18:12:00
rev_000021,ord_000021,5,Excelente,,2018-03-24 21:52:00,2018-03-29 21:52:00
rev_000022,ord_000022,5,Recomendo,Recomendo a todos,2017-04-04 09:18:00,2017-04-08 09:18:00
rev_000024,ord_000024,5,,Produto chegou rapido,2018-01-06 11:31:00,2018-01-10 11:31:00
rev_000025,ord_000025,3,Bom,,2018-03-27 22:18:00,2018-03-30 22:18:00
rev_000026,ord_000026,3,,,2017-11-01 11:44:00,2017-11-04 11:44:00
rev_000028,ord_000028,5,Otimo,,2018-11-18 17:45:00,2018-11-19 17:45:00
rev_000029,ord_000029,5,,Produto chegou rapido,2018-05-04 18:36:00,2018-05-13 18:36:00
rev_000030,ord_000030,4,Recomendo,Produto chegou rapido,2017-11-13 14:27:00,2017-11-13 14:27:00
rev_000031,ord_000031,5,Recomendo,,2017-04-14 11:26:00,2017-04-19 11:26:00
rev_000033,ord_000033,4,,Otima qualidade,2018-05-26 19:22:00,2018-05-27 19:22:00
rev_000035,ord_000035,3,Péssimo,,2017-03-26 13:09:00,2017-04-04 13:09:00
rev_000036,ord_000036,5,Bom,,2017-08-18 11:40:00,
rev_000037,ord_000037,4,,,2017-12-04 11:04:00,2017-12-06 11:04:00
rev_000038,ord_000038,5,Otimo,Produto chegou rapido,2017-12-05 12:59:00,2017-12-11 12:59:00
rev_000039,ord_000039,4,Bom,Atrasou a entrega,2019-01-02 10:08:00,2019-01-04 10:08:00
rev_000040,ord_000040,5,Bom,Recomendo a todos,2017-09-14 14:22:00,
rev_000041,ord_000041,5,,,2017-04-18 21:14:00,2017-04-22 21:14:00
rev_000042,ord_000042,5,Recomendo,Produto chegou rapido,2018-01-03 14:17:00,2018-01-03 14:17:00
rev_000043,ord_000043,5,,Produto chegou rapido,2017-06-27 11:19:00,2017-06-30 11:19:00
rev_000044,ord_000044,5,,Produto com defeito,2017-06-29 11:43:00,2017-06-29 11:43:00
rev_000046,ord_000046,1,,,2017-12-02 15:15:00,2017-12-10 15:15:00
rev_000047,ord_000047,1,Bom,Recomendo a todos,2017-05-09 21:06:00,2017-05-14 21:06:00
rev_000048,ord_000048,5,,Recomendo a todos,2018-06-18 14:19:00,2018-06-18 14:19:00
rev_000049,ord_000049,5,,,2018-04-07 13:56:00,2018-04-14 13:56:00
rev_000051,ord_000051,4,,,2018-11-11 20:46:00,2018-11-15 20:46:00
rev_000052,ord_000052,5,,Produto chegou rapido,2017-11-07 10:27:00,
rev_000054,ord_000054,4,,,2018-12-06 13:49:00,2018-12-12 13:49:00
rev_000056,ord_000056,1,,Produto chegou rapido,2017-10-08 20:51:00,
rev_000057,ord_000057,1,,Atrasou a entrega,2018-11-09 13:29:00,2018-11-18 13:29:00
