order_id,order_item_id,product_id,seller_id,shipping_limit_date,price,freight_value
ord_000000,1,prod_00658,sell_0139,18/10/2018 18:44,115.3,19.73
ord_000000,2,prod_00707,sell_0165,19/10/2018 18:44,75.39,4.15
ord_000001,1,prod_00063,sell_0188,03/09/2018 15:38,94.17,18.35
ord_000001,2,prod_00154,sell_0051,03/09/2018 15:38,20.08,3.52
ord_000002,1,prod_00415,sell_0215,02/06/2018 16:41,138.35,27.24
ord_000003,1,prod_00334,sell_0051,21/02/2018 14:39,75.03,5.77
ord_000004,1,prod_00018,sell_0002,12/09/2018 17:38,48.77,10.74
ord_000005,1,prod_00761,sell_0222,02/09/2018 21:20,69.18,14.07
ord_000006,1,prod_00191,sell_0241,26/06/2017 21:01,63.88,9.86
ord_000007,1,prod_00424,sell_0099,01/10/2018 15:26,60.31,6.84
ord_000008,1,prod_00789,sell_0240,21/04/2017 21:02,44.37,5.67
ord_000009,1,prod_00652,sell_0183,05/04/2018 11:28,114.27,20.91
ord_000010,1,prod_00482,sell_0211,06/07/2018 20:27,47.33,6.22
ord_000011,1,prod_00586,sell_0035,14/10/2018 17:10,44.76,10.52
ord_000012,1,prod_00449,sell_0098,09/03/2018 22:47,88.66,14.72
ord_000013,1,prod_00077,sell_0144,28/09/2017 08:42,78.47,15.08
ord_000014,1,prod_00044,sell_0037,26/03/2018 09:33,13.8,1.77
ord_000015,1,prod_00793,sell_0091,10/10/2017 18:55,177.72,29.96
ord_000016,1,prod_00577,sell_0145,26/04/2018 09:17,54.97,7.51
ord_000016,2,prod_00159,sell_0184,24/04/2018 09:17,42.46,6.45
ord_000017,1,prod_00248,sell_0246,09/03/2018 18:15,53.11,9.52
ord_000018,1,prod_00310,sell_0096,24/09/2018 18:11,30.61,6
ord_000019,1,prod_00160,sell_0187,03/10/2017 10:32,96.74,13.68
ord_000020,1,prod_00574,sell_0021,25/08/2017 18:12,158.01,20.42
ord_000021,1,prod_00772,sell_0111,19/03/2018 21:52,56.47,5.42
ord_000021,2,prod_00470,sell_0174,15/03/2018 21:52,58.43,13.61
ord_000022,1,prod_00140,sell_0023,14/03/2017 09:18,118.7,24.23
ord_000023,1,prod_00052,sell_0173,23/09/2017 16:29,21.48,3.43
ord_000024,1,prod_00167,sell_0139,18/12/2017 11:31,161.32,38.24
ord_000025,1,prod_00737,sell_0191,27/03/2018 22:18,60.87,5.24
ord_000026,1,prod_00255,sell_0063,24/10/2017 11:44,80.51,13.87
ord_000026,2,prod_00718,sell_0213,28/10/2017 11:44,50.26,3.29
ord_000026,3,prod_00783,sell_0136,26/10/2017 11:44,59.95,14.91
ord_000027,1,prod_00738,sell_0142,15/05/2018 16:41,35.09,8.6
ord_000028,1,prod_00421,sell_0116,18/11/2018 17:45,116.57,14.89
ord_000029,1,prod_00375,sell_0145,04/05/2018 18:36,224.48,25.4
ord_000030,1,prod_00151,sell_0114,07/11/2017 14:27,130.86,8.67
ord_000030,2,prod_00042,sell_0105,10/11/2017 14:27,131.56,9.82
ord_000031,1,prod_00263,sell_0105,02/04/2017 11:26,46.44,5.41
ord_000032,1,prod_00239,sell_0035,23/06/2017 17:42,78.57,13.39
ord_000032,2,prod_00631,sell_0193,25/06/2017 17:42,170.22,30.99
ord_000033,1,prod_00282,sell_0029,13/05/2018 19:22,130.6,25.01
ord_000033,2,prod_00033,sell_0242,12/05/2018 19:22,90.07,9.4
ord_000034,1,prod_00189,sell_0101,28/07/2018 18:26,31.41,2.97
ord_000035,1,prod_00213,sell_0028,15/03/2017 13:09,50.97,8.09
ord_000035,2,prod_00264,sell_0000,14/03/2017 13:09,136.07,31.25
ord_000036,1,prod_00013,sell_0150,10/08/2017 11:40,100.39,22.9
ord_000037,1,prod_00500,sell_0186,26/11/2017 11:04,191.6,12.55
ord_000037,2,prod_00610,sell_0072,26/11/2017 11:04,172.82,42.96
ord_000038,1,prod_00545,sell_0213,30/11/2017 12:59,31.94,1.74
ord_000038,2,prod_00147,sell_0151,26/11/2017 12:59,99.76,21.48
ord_000039,1,prod_00644,sell_0010,14/12/2018 10:08,59.73,6.04
ord_000040,1,prod_00210,sell_0044,28/08/2017 14:22,149.75,28.96
ord_000041,1,prod_00530,sell_0246,29/03/2017 21:14,94.5,13.49
ord_000042,1,prod_00459,sell_0001,19/12/2017 14:17,76.22,10.12
ord_000042,2,prod_00426,sell_0105,16/12/2017 14:17,83.03,12.9
ord_000043,1,prod_00386,sell_0141,22/06/2017 11:19,39.84,2.63
ord_000044,1,prod_00312,sell_0146,11/06/2017 11:43,238.38,32.6
ord_000044,2,prod_00793,sell_0048,15/06/2017 11:43,48.99,6.51
ord_000045,1,prod_00053,sell_0194,27/01/2018 19:10,23.15,3.5
ord_000046,1,prod_00153,sell_0145,27/11/2017 15:15,71.53,7.33
ord_000047,1,prod_00075,sell_0108,07/05/2017 21:06,172.91,33.95
ord_000048,1,prod_00085,sell_0022,09/06/2018 14:19,26.64,2.78
ord_000049,1,prod_00325,sell_0121,08/04/2018 13:56,298.8,34.94
ord_000050,1,prod_00743,sell_0116,18/04/2017 16:22,61.25,9.6
ord_000051,1,prod_00616,sell_0151,09/11/2018 20:46,42.51,7.01
ord_000052,1,prod_00330,sell_0046,07/11/2017 10:27,162.81,35.31
ord_000053,1,prod_00267,sell_0215,18/12/2018 14:26,253.1,30.35
ord_000054,1,prod_00582,sell_0117,30/11/2018 13:49,116.7,6.61
ord_000055,1,prod_00615,sell_0120,19/02/2018 22:01,132.26,24.46
ord_000056,1,prod_00074,sell_0188,20/09/2017 20:51,84.18,13.19
ord_000057,1,prod_00095,sell_0101,22/10/2018 13:29,43.56,10.32
ord_000058,1,prod_00343,sell_0138,25/12/2017 09:21,144.69,27.79
ord_000059,1,prod_00508,sell_0094,18/07/2017 11:54,67.36,10.74
ord_000060,1,prod_00798,sell_0063,09/05/2018 09:20,80.6,7.33
ord_000061,1,prod_00142,sell_0163,27/03/2018 15:58,44.79,7.18
ord_000062,1,prod_00060,sell_0234,02/11/2018 20:56,130.67,14.12
ord_000063,1,prod_00455,sell_0169,28/08/2018 12:16,49.95,6.1
ord_000064,1,prod_00082,sell_0212,17/11/2018 16:20,79.42,7.71
ord_000065,1,prod_00047,sell_0191,31/08/2018 08:48,28.13,1.86
ord_000065,2,prod_00766,sell_0209,28/08/2018 08:48,74.21,6.8
ord_000066,1,prod_00093,sell_0036,03/07/2018 09:11,47.45,9.54
ord_000066,2,prod_00303,sell_0165,06/07/2018 09:11,170.9,16.28
ord_000067,1,prod_00777,sell_0235,05/04/2018 22:43,50.11,12.01
ord_000067,2,prod_00090,sell_0087,06/04/2018 22:43,214.71,29.07
ord_000068,1,prod_00538,sell_0102,29/12/2018 17:07,24.22,5.09
ord_000069,1,prod_00525,sell_0197,16/12/2018 11:12,12.99,2.45
ord_000070,1,prod_00420,sell_0191,02/11/2018 17:30,97.89,21.89
ord_000070,2,prod_00733,sell_0244,29/10/2018 17:30,93.71,16.69
ord_000071,1,prod_00310,sell_0145,18/09/2018 13:44,15.74,3.07
ord_000072,1,prod_00555,sell_0248,24/05/2018 19:44,139.62,12.91
ord_000073,1,prod_00700,sell_0133,19/10/2017 09:36,44.45,6.32
ord_000074,1,prod_00303,sell_0025,15/11/2018 11:16,114.93,6.11
ord_000075,1,prod_00738,sell_0133,24/01/2017 22:24,89.24,12.68
ord_000076,1,prod_00714,sell_0036,21/09/2017 19:14,47.86,3.66
