order_id,payment_sequential,payment_type,payment_installments,payment_value
ord_000000,1,credit_card,3,214.57
ord_000001,1,credit_card,1,136.12
ord_000002,1,credit_card,8,165.59
ord_000003,1,credit_card,8,80.8
ord_000004,1,boleto,1,59.51
ord_000005,1,boleto,1,83.25
ord_000006,1,credit_card,2,73.74
ord_000007,1,credit_card,1,67.15
ord_000008,1,boleto,1,50.04
ord_000009,1,credit_card,1,135.18
ord_000010,1,credit_card,1,53.55
ord_000011,1,credit_card,1,55.28
ord_000012,1,boleto,1,103.38
ord_000013,1,boleto,1,93.55
ord_000014,1,credit_card,1,15.57
ord_000015,1,credit_card,1,207.68
ord_000016,1,boleto,1,111.39
ord_000017,1,credit_card,1,62.63
ord_000018,1,credit_card,2,36.61
ord_000019,1,boleto,1,110.42
ord_000020,1,credit_card,4,178.43
ord_000021,1,credit_card,8,133.93
ord_000022,1,boleto,1,142.93
ord_000023,1,credit_card,1,24.91
ord_000024,1,credit_card,4,199.56
ord_000025,1,credit_card,6,66.11
ord_000026,1,credit_card,1,222.79
ord_000027,1,credit_card,4,43.69
ord_000028,1,boleto,1,131.46
ord_000029,1,voucher,1,249.88
ord_000030,1,boleto,1,280.91
ord_000031,1,credit_card,6,51.85
ord_000032,1,credit_card,6,293.17
ord_000033,1,debit_card,1,255.08
ord_000034,1,credit_card,6,34.38
ord_000035,1,credit_card,2,226.38
ord_000036,1,credit_card,3,123.29
ord_000037,1,boleto,1,419.93
ord_000038,1,credit_card,10,154.92
ord_000039,1,credit_card,1,65.77
ord_000040,1,boleto,1,178.71
ord_000041,1,credit_card,8,107.99
ord_000042,1,voucher,1,182.27
ord_000043,1,credit_card,3,42.47
ord_000044,1,credit_card,1,326.48
ord_000045,1,credit_card,1,26.65
ord_000046,1,credit_card,6,78.86
ord_000047,1,boleto,1,206.86
ord_000048,1,credit_card,3,29.42
ord_000049,1,credit_card,4,333.74
ord_000050,1,credit_card,4,70.85
ord_000051,1,credit_card,1,49.52
ord_000052,1,credit_card,4,198.12
ord_000053,1,credit_card,3,283.45
ord_000054,1,credit_card,4,123.31
ord_000055,1,credit_card,2,156.72
ord_000056,1,voucher,1,97.37
ord_000057,1,credit_card,1,53.88
ord_000058,1,boleto,1,172.48
ord_000059,1,credit_card,1,78.1
ord_000060,1,credit_card,5,87.93
ord_000061,1,credit_card,1,51.97
ord_000062,1,credit_card,2,144.79
ord_000063,1,credit_card,1,56.05
ord_000064,1,credit_card,1,87.13
ord_000065,1,credit_card,2,111.0
ord_000066,1,credit_card,4,244.17
ord_000067,1,credit_card,1,152.95
ord_000067,2,credit_card,1,152.95
ord_000068,1,credit_card,2,29.31
ord_000069,1,credit_card,1,15.44
ord_000070,1,credit_card,1,230.18
ord_000071,1,credit_card,1,18.81
ord_000072,1,credit_card,3,152.53
ord_000073,1,credit_card,2,50.77
ord_000074,1,credit_card,1,121.04
ord_000075,1,credit_card,1,101.92
ord_000076,1,credit_card,2,51.52
ord_000077,1,credit_card,4,145.07
ord_000078,1,credit_card,1,84.11
ord_000079,1,credit_card,1,130.4
ord_000080,1,credit_card,2,35.55
ord_000081,1,credit_card,1,41.13
ord_000082,1,credit_card,6,60.03
ord_000083,1,credit_card,6,159.03
ord_000084,1,credit_card,1,58.68
ord_000085,1,credit_card,1,53.51
ord_000086,1,credit_card,3,156.1
ord_000087,1,credit_card,10,66.6
ord_000088,1,credit_card,1,110.18
ord_000089,1,credit_card,1,78.58
ord_000090,1,credit_card,4,22.83
ord_000091,1,credit_card,1,142.67
ord_000092,1,credit_card,4,75.76
ord_000093,1,debit_card,1,113.24
ord_000094,1,credit_card,8,98.99
ord_000095,1,credit_card,1,288.56
ord_000096,1,credit_card,2,81.52
ord_000097,1,voucher,1,232.7
ord_000098,1,credit_card,4,132.87
ord_000099,1,credit_card,6,110.82
ord_000100,1,credit_card,1,49.28
ord_000101,1,credit_card,5,101.6
ord_000102,1,credit_card,5,39.65
ord_000103,1,credit_card,6,67.92
ord_000104,1,credit_card,4,123.15
ord_000105,1,credit_card,1,46.16
ord_000106,1,credit_card,1,40.3
ord_000107,1,credit_card,6,297.9
ord_000108,1,credit_card,1,185.03
ord_000109,1,credit_card,2,79.52
ord_000110,1,credit_card,2,48.79
ord_000111,1,credit_card,10,196.3
ord_000112,1,credit_card,1,75.97
ord_000113,1,credit_card,1,84.49
ord_000114,1,boleto,1,92.02
ord_000115,1,credit_card,3,121.44
ord_000116,1,credit_card,1,403.47
ord_000117,1,boleto,1,290.36
ord_000118,1,credit_card,1,234.77
ord_000119,1,credit_card,10,228.76
ord_000120,1,credit_card,4,65.89
ord_000121,1,credit_card,1,20.2
ord_000122,1,credit_card,1,129.67
ord_000123,1,credit_card,3,60.22
ord_000124,1,boleto,1,154.04
ord_000125,1,credit_card,8,158.94
ord_000126,1,credit_card,1,116.63
ord_000127,1,boleto,1,69.98
ord_000128,1,credit_card,2,129.13
ord_000129,1,boleto,1,69.79
ord_000130,1,boleto,1,207.72
ord_000131,1,voucher,1,99.17
ord_000132,1,credit_card,1,159.52
ord_000133,1,boleto,1,57.68
ord_000134,1,credit_card,4,155.74
ord_000135,1,credit_card,1,97.33
ord_000136,1,credit_card,1,106.04
ord_000137,1,boleto,1,99.71
ord_000138,1,credit_card,1,300.9
ord_000139,1,boleto,1,32.19
ord_000140,1,credit_card,5,46.72
ord_000141,1,credit_card,4,381.25
ord_000142,1,boleto,1,76.62
ord_000143,1,voucher,1,18.35
ord_000144,1,credit_card,1,122.88
ord_000145,1,credit_card,2,51.34
ord_000146,1,voucher,1,51.38
ord_000147,1,credit_card,1,35.14
ord_000148,1,credit_card,1,133.29
ord_000149,1,credit_card,4,69.55
ord_000150,1,boleto,1,30.37
ord_000151,1,credit_card,8,107.32
ord_000152,1,voucher,1,48.24
ord_000152,2,boleto,1,48.24
ord_000153,1,boleto,1,95.15
ord_000154,1,credit_card,1,68.8
ord_000155,1,credit_card,3,185.69
ord_000156,1,credit_card,1,112.4
ord_000157,1,credit_card,5,48.28
ord_000157,2,credit_card,1,48.28
ord_000158,1,boleto,1,170.19
ord_000159,1,boleto,1,61.6
