order_id,customer_id,order_status,order_purchase_timestamp,order_approved_at,order_delivered_carrier_date,order_delivered_customer_date,order_estimated_delivery_date
ord_000000,cust_001767,delivered,14/10/2018 18:44,,19/10/2018 18:44,23/10/2018 18:44,01/11/2018 18:44
ord_000001,cust_002696,delivered,27/08/2018 15:38,27/08/2018 17:38,28/08/2018 17:38,02/09/2018 17:38,18/09/2018 15:38
ord_000002,cust_000938,delivered,30/05/2018 16:41,31/05/2018 18:41,02/06/2018 18:41,07/06/2018 18:41,20/06/2018 16:41
ord_000003,cust_002656,delivered,16/02/2018 14:39,17/02/2018 14:39,22/02/2018 14:39,27/02/2018 14:39,05/03/2018 14:39
ord_000004,cust_001532,delivered,06/09/2018 17:38,07/09/2018 08:38,08/09/2018 08:38,14/09/2018 08:38,17/09/2018 17:38
ord_000005,cust_000753,delivered,27/08/2018 21:20,29/08/2018 02:20,03/09/2018 02:20,05/09/2018 02:20,18/09/2018 21:20
ord_000006,cust_002878,canceled,19/06/2017 21:01,,,,30/06/2017 21:01
ord_000007,cust_001869,delivered,26/09/2018 15:26,28/09/2018 01:26,29/09/2018 01:26,07/10/2018 01:26,06/10/2018 15:26
ord_000008,cust_001639,delivered,15/04/2017 21:02,17/04/2017 08:02,21/04/2017 08:02,28/04/2017 08:02,28/04/2017 21:02
ord_000009,cust_000499,delivered,31/03/2018 11:28,02/04/2018 08:28,05/04/2018 08:28,13/04/2018 08:28,14/04/2018 11:28
ord_000010,cust_001657,delivered,02/07/2018 20:27,03/07/2018 05:27,07/07/2018 05:27,11/07/2018 05:27,23/07/2018 20:27
ord_000011,cust_000694,delivered,12/10/2018 17:10,12/10/2018 20:10,18/10/2018 20:10,21/10/2018 20:10,30/10/2018 17:10
ord_000012,cust_001263,delivered,05/03/2018 22:47,06/03/2018 03:47,07/03/2018 03:47,20/03/2018 03:47,28/03/2018 22:47
ord_000013,cust_002761,delivered,22/09/2017 08:42,,27/09/2017 09:42,11/10/2017 09:42,03/10/2017 08:42
ord_000014,cust_002985,delivered,24/03/2018 09:33,24/03/2018 23:33,26/03/2018 23:33,02/04/2018 23:33,17/04/2018 09:33
ord_000015,cust_001205,delivered,04/10/2017 18:55,05/10/2017 00:55,09/10/2017 00:55,20/10/2017 00:55,21/10/2017 18:55
ord_000016,cust_000960,canceled,19/04/2018 09:17,21/04/2018 05:17,,,07/05/2018 09:17
ord_000017,cust_000625,canceled,05/03/2018 18:15,06/03/2018 10:15,,,15/03/2018 18:15
ord_000018,cust_000627,delivered,19/09/2018 18:11,20/09/2018 04:11,25/09/2018 04:11,03/10/2018 04:11,09/10/2018 18:11
ord_000019,cust_001572,delivered,26/09/2017 10:32,27/09/2017 11:32,01/10/2017 11:32,12/10/2017 11:32,13/10/2017 10:32
ord_000020,cust_002900,delivered,20/08/2017 18:12,,24/08/2017 14:12,04/09/2017 14:12,10/09/2017 18:12
ord_000021,cust_002553,delivered,13/03/2018 21:52,13/03/2018 21:52,17/03/2018 21:52,23/03/2018 21:52,05/04/2018 21:52
ord_000022,cust_000869,delivered,12/03/2017 09:18,14/03/2017 07:18,18/03/2017 07:18,31/03/2017 07:18,25/03/2017 09:18
ord_000023,cust_002498,delivered,16/09/2017 16:29,18/09/2017 01:29,19/09/2017 01:29,29/09/2017 01:29,10/10/2017 16:29
ord_000024,cust_001413,delivered,14/12/2017 11:31,16/12/2017 02:31,20/12/2017 02:31,26/12/2017 02:31,31/12/2017 11:31
ord_000025,cust_001986,delivered,22/03/2018 22:18,24/03/2018 19:18,27/03/2018 19:18,04/04/2018 19:18,05/04/2018 22:18
ord_000026,cust_000764,delivered,21/10/2017 11:44,23/10/2017 05:44,24/10/2017 05:44,29/10/2017 05:44,10/11/2017 11:44
ord_000027,cust_002440,delivered,10/05/2018 16:41,11/05/2018 03:41,15/05/2018 03:41,18/05/2018 03:41,20/05/2018 16:41
ord_000028,cust_001398,delivered,12/11/2018 17:45,14/11/2018 05:45,18/11/2018 05:45,20/11/2018 05:45,02/12/2018 17:45
ord_000029,cust_002338,delivered,29/04/2018 18:36,,04/05/2018 18:36,11/05/2018 18:36,22/05/2018 18:36
ord_000030,cust_000744,shipped,04/11/2017 14:27,05/11/2017 07:27,08/11/2017 07:27,,17/11/2017 14:27
ord_000031,cust_002890,delivered,26/03/2017 11:26,27/03/2017 23:26,01/04/2017 23:26,15/04/2017 23:26,13/04/2017 11:26
ord_000032,cust_001265,delivered,19/06/2017 17:42,21/06/2017 02:42,23/06/2017 02:42,06/07/2017 02:42,10/07/2017 17:42
ord_000033,cust_001967,canceled,10/05/2018 19:22,12/05/2018 07:22,,,28/05/2018 19:22
ord_000034,cust_001605,delivered,25/07/2018 18:26,27/07/2018 06:26,02/08/2018 06:26,13/08/2018 06:26,17/08/2018 18:26
ord_000035,cust_001793,delivered,11/03/2017 13:09,11/03/2017 15:09,15/03/2017 15:09,25/03/2017 15:09,02/04/2017 13:09
ord_000036,cust_000770,delivered,07/08/2017 11:40,08/08/2017 14:40,13/08/2017 14:40,24/08/2017 14:40,21/08/2017 11:40
ord_000037,cust_002716,canceled,24/11/2017 11:04,25/11/2017 16:04,,,09/12/2017 11:04
ord_000038,cust_000625,delivered,24/11/2017 12:59,24/11/2017 19:59,29/11/2017 19:59,07/12/2017 19:59,14/12/2017 12:59
ord_000039,cust_001084,delivered,10/12/2018 10:08,10/12/2018 21:08,16/12/2018 21:08,28/12/2018 21:08,26/12/2018 10:08
ord_000040,cust_001292,delivered,24/08/2017 14:22,,31/08/2017 13:22,05/09/2017 13:22,08/09/2017 14:22
ord_000041,cust_001478,delivered,27/03/2017 21:14,29/03/2017 03:14,04/04/2017 03:14,17/04/2017 03:14,18/04/2017 21:14
ord_000042,cust_000677,delivered,14/12/2017 14:17,16/12/2017 06:17,18/12/2017 06:17,29/12/2017 06:17,25/12/2017 14:17
ord_000043,cust_002577,delivered,16/06/2017 11:19,17/06/2017 21:19,23/06/2017 21:19,26/06/2017 21:19,03/07/2017 11:19
ord_000044,cust_001847,delivered,08/06/2017 11:43,10/06/2017 09:43,13/06/2017 09:43,17/06/2017 09:43,23/06/2017 11:43
ord_000045,cust_002936,shipped,24/01/2018 19:10,25/01/2018 05:10,31/01/2018 05:10,,14/02/2018 19:10
ord_000046,cust_001053,delivered,20/11/2017 15:15,21/11/2017 09:15,22/11/2017 09:15,27/11/2017 09:15,14/12/2017 15:15
ord_000047,cust_001263,delivered,01/05/2017 21:06,02/05/2017 09:06,08/05/2017 09:06,20/05/2017 09:06,24/05/2017 21:06
ord_000048,cust_001711,shipped,07/06/2018 14:19,,11/06/2018 08:19,,22/06/2018 14:19
ord_000049,cust_001769,delivered,01/04/2018 13:56,02/04/2018 18:56,04/04/2018 18:56,18/04/2018 18:56,16/04/2018 13:56
ord_000050,cust_000517,delivered,14/04/2017 16:22,15/04/2017 16:22,19/04/2017 16:22,22/04/2017 16:22,25/04/2017 16:22
ord_000051,cust_002513,delivered,03/11/2018 20:46,04/11/2018 23:46,08/11/2018 23:46,17/11/2018 23:46,26/11/2018 20:46
ord_000052,cust_002984,delivered,02/11/2017 10:27,03/11/2017 01:27,04/11/2017 01:27,16/11/2017 01:27,16/11/2017 10:27
ord_000053,cust_001556,delivered,12/12/2018 14:26,14/12/2018 08:26,18/12/2018 08:26,01/01/2019 08:26,26/12/2018 14:26
ord_000054,cust_001135,delivered,28/11/2018 13:49,29/11/2018 18:49,04/12/2018 18:49,07/12/2018 18:49,13/12/2018 13:49
ord_000055,cust_001213,delivered,13/02/2018 22:01,,17/02/2018 22:01,27/02/2018 22:01,08/03/2018 22:01
ord_000056,cust_000185,delivered,15/09/2017 20:51,17/09/2017 05:51,21/09/2017 05:51,24/09/2017 05:51,09/10/2017 20:51
ord_000057,cust_000194,delivered,19/10/2018 13:29,21/10/2018 03:29,27/10/2018 03:29,30/10/2018 03:29,02/11/2018 13:29
ord_000058,cust_001122,canceled,20/12/2017 09:21,21/12/2017 03:21,,,08/01/2018 09:21
ord_000059,cust_000636,delivered,16/07/2017 11:54,17/07/2017 22:54,19/07/2017 22:54,02/08/2017 22:54,29/07/2017 11:54
ord_000060,cust_000886,delivered,04/05/2018 09:20,05/05/2018 23:20,11/05/2018 23:20,15/05/2018 23:20,20/05/2018 09:20
ord_000061,cust_000994,delivered,23/03/2018 15:58,24/03/2018 22:58,25/03/2018 22:58,06/04/2018 22:58,12/04/2018 15:58
ord_000062,cust_000537,delivered,27/10/2018 20:56,,30/10/2018 01:56,12/11/2018 01:56,13/11/2018 20:56
ord_000063,cust_001204,delivered,21/08/2018 12:16,21/08/2018 21:16,23/08/2018 21:16,31/08/2018 21:16,13/09/2018 12:16
ord_000064,cust_000109,delivered,10/11/2018 16:20,10/11/2018 17:20,15/11/2018 17:20,19/11/2018 17:20,27/11/2018 16:20
ord_000065,cust_002328,delivered,24/08/2018 08:48,24/08/2018 21:48,25/08/2018 21:48,05/09/2018 21:48,14/09/2018 08:48
ord_000066,cust_002082,delivered,30/06/2018 09:11,30/06/2018 16:11,03/07/2018 16:11,12/07/2018 16:11,16/07/2018 09:11
ord_000067,cust_000500,delivered,31/03/2018 22:43,02/04/2018 01:43,05/04/2018 01:43,11/04/2018 01:43,21/04/2018 22:43
ord_000068,cust_000491,delivered,25/12/2018 17:07,27/12/2018 12:07,28/12/2018 12:07,10/01/2019 12:07,16/01/2019 17:07
ord_000069,cust_000217,delivered,11/12/2018 11:12,,12/12/2018 14:12,22/12/2018 14:12,04/01/2019 11:12
ord_000070,cust_000554,delivered,27/10/2018 17:30,28/10/2018 06:30,31/10/2018 06:30,05/11/2018 06:30,11/11/2018 17:30
ord_000071,cust_001763,delivered,16/09/2018 13:44,16/09/2018 15:44,17/09/2018 15:44,24/09/2018 15:44,04/10/2018 13:44
ord_000072,cust_000226,delivered,21/05/2018 19:44,21/05/2018 23:44,27/05/2018 23:44,02/06/2018 23:44,10/06/2018 19:44
ord_000073,cust_000024,delivered,12/10/2017 09:36,12/10/2017 11:36,15/10/2017 11:36,23/10/2017 11:36,04/11/2017 09:36
ord_000074,cust_001712,delivered,10/11/2018 11:16,11/11/2018 16:16,12/11/2018 16:16,17/11/2018 16:16,21/11/2018 11:16
ord_000075,cust_002792,delivered,17/01/2017 22:24,19/01/2017 18:24,23/01/2017 18:24,02/02/2017 18:24,27/01/2017 22:24
ord_000076,cust_001406,canceled,14/09/2017 19:14,16/09/2017 05:14,,,25/09/2017 19:14
ord_000077,cust_000768,shipped,22/01/2018 22:16,,28/01/2018 07:16,,02/02/2018 22:16
ord_000078,cust_002494,delivered,26/05/2018 10:19,26/05/2018 17:19,30/05/2018 17:19,01/06/2018 17:19,09/06/2018 10:19
ord_000079,cust_002500,delivered,10/05/2018 10:35,12/05/2018 02:35,13/05/2018 02:35,16/05/2018 02:35,24/05/2018 10:35
ord_000080,cust_002507,delivered,28/07/2017 10:12,29/07/2017 13:12,03/08/2017 13:12,07/08/2017 13:12,08/08/2017 10:12
ord_000081,cust_001138,delivered,16/05/2017 18:02,18/05/2017 16:02,24/05/2017 16:02,27/05/2017 16:02,09/06/2017 18:02
ord_000082,cust_000121,delivered,10/09/2017 14:41,11/09/2017 08:41,14/09/2017 08:41,24/09/2017 08:41,02/10/2017 14:41
ord_000083,cust_002996,delivered,11/12/2017 14:01,12/12/2017 23:01,13/12/2017 23:01,22/12/2017 23:01,23/12/2017 14:01
ord_000084,cust_002685,delivered,21/01/2017 10:58,22/01/2017 09:58,24/01/2017 09:58,26/01/2017 09:58,05/02/2017 10:58
ord_000085,cust_001503,shipped,31/07/2018 19:21,,05/08/2018 19:21,,15/08/2018 19:21
ord_000086,cust_002354,delivered,02/10/2017 21:00,03/10/2017 02:00,07/10/2017 02:00,12/10/2017 02:00,24/10/2017 21:00
ord_000087,cust_002888,delivered,13/12/2017 08:53,14/12/2017 06:53,20/12/2017 06:53,28/12/2017 06:53,23/12/2017 08:53
ord_000088,cust_000174,delivered,30/11/2017 18:35,01/12/2017 02:35,04/12/2017 02:35,13/12/2017 02:35,22/12/2017 18:35
ord_000089,cust_001406,delivered,08/04/2018 13:49,10/04/2018 00:49,16/04/2018 00:49,24/04/2018 00:49,19/04/2018 13:49
ord_000090,cust_002584,delivered,02/11/2018 17:26,04/11/2018 03:26,06/11/2018 03:26,13/11/2018 03:26,19/11/2018 17:26
ord_000091,cust_002142,delivered,02/07/2017 13:21,04/07/2017 06:21,08/07/2017 06:21,10/07/2017 06:21,20/07/2017 13:21
ord_000092,cust_000330,delivered,04/12/2017 16:39,05/12/2017 14:39,09/12/2017 14:39,21/12/2017 14:39,17/12/2017 16:39
ord_000093,cust_000190,delivered,30/07/2018 20:24,01/08/2018 11:24,03/08/2018 11:24,15/08/2018 11:24,10/08/2018 20:24
ord_000094,cust_000975,delivered,04/03/2017 11:33,,09/03/2017 05:33,22/03/2017 05:33,20/03/2017 11:33
ord_000095,cust_001334,delivered,17/10/2018 16:16,18/10/2018 15:16,23/10/2018 15:16,03/11/2018 15:16,09/11/2018 16:16
ord_000096,cust_000370,delivered,12/12/2018 09:19,14/12/2018 06:19,18/12/2018 06:19,24/12/2018 06:19,30/12/2018 09:19
ord_000097,cust_000812,delivered,09/06/2018 09:04,10/06/2018 22:04,14/06/2018 22:04,24/06/2018 22:04,02/07/2018 09:04
